,road,road_segment,road_name,startLRP,endLRP,startChainage,endChainage,road_length,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,AADT,nrLanes,trucks_density,bus_density,car_density,mot_density,nonmotorized_density,lat,lon,vulnerability_weight,vul_roadseg,criticality
13,N1,N1-19R,Mainamati N102- Int.with Z1029 (Right),LRP076,LRP076,81.8461,85.897,4.051,336.0,5605.0,763.0,1863.0,474.0,1037.0,415.0,1042.0,1906.0,492.0,96.0,184.0,0.0,13933.0,280.0,14213.0,14213.0,6.0,827.4500123426316,299.83707726487285,42.8700732329466,16.19353246112071,6.911873611453962,23.459,91.142333,49.420504021450064,1201.2147707453653,10056.000000000002
14,N1,N1-20L,Int.with Z1029 - Int.with Z1052 (Left),LRP076,LRP076,85.89710000000002,87.366,1.469,308.0,5253.0,680.0,1824.0,454.0,959.0,393.0,1215.0,1997.0,617.0,128.0,174.0,0.0,13700.0,302.0,14002.0,14002.0,6.0,2124.2341729067393,793.2743362831857,137.84887678692988,56.0018152938507,20.558202859087814,23.446944100000003,91.1481386,49.420504021450064,435.5923224450609,9361.5
15,N1,N1-20R,Int.with Z1029 - Int.with Z1052 (Right),LRP076,LRP076,85.89710000000002,87.366,1.469,336.0,5605.0,763.0,1863.0,474.0,1037.0,415.0,1042.0,1906.0,492.0,96.0,184.0,0.0,13933.0,280.0,14213.0,14213.0,6.0,2281.824370319945,826.8481960517357,118.22101202632177,44.65622872702519,19.060585432266848,23.446944100000003,91.1481386,49.420504021450064,435.5923224450609,10055.999999999998
16,N1,N1-21L,Int.with Z1052 - Changani (Kotbari) (Left),LRP076,LRP091,87.3661,89.41,2.044,294.0,5781.0,770.0,1356.0,307.0,516.0,257.0,732.0,1429.0,384.0,72.0,144.0,0.0,11826.0,216.0,12042.0,12042.0,6.0,1674.412915851272,383.7769080234834,59.68688845401174,25.048923679060675,10.567514677103718,,,49.420504021450064,606.0930613190636,10267.499999999998
17,N1,N1-48,Hashimpur Z1036- Keranirhat N108,LRP281,LRP291,278.01309999999995,289.612,11.599,23.0,786.0,1237.0,944.0,92.0,1267.0,109.0,811.0,6505.0,905.0,220.0,843.0,0.0,12679.0,1063.0,13742.0,13742.0,2.0,264.59177515303037,214.4357272178636,34.95991033709802,31.209587033364944,27.49374946116044,22.102166699999998,92.07405490000001,49.420504021450064,1146.4568522895986,3068.999999999999
18,N1,N1-21R,Int.with Z1052 - Changani (Kotbari) (Right),LRP076,LRP091,87.3661,89.41,2.044,321.0,5542.0,848.0,1306.0,321.0,522.0,282.0,825.0,1412.0,370.0,64.0,143.0,0.0,11749.0,207.0,11956.0,11956.0,6.0,1641.6340508806265,378.49315068493166,67.27005870841488,24.13568166992825,10.12720156555773,,,49.420504021450064,606.0930613190636,10066.500000000002
19,N1,N1-14R,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Right),LRP043,LRP043,47.2241,55.477,8.253,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,11681.0,6.0,376.65091481885366,128.85496183206106,21.18421584070439,2.1325578577486977,1.5994183933115231,23.512666699999997,90.871416,49.420504021450064,2447.2045181341646,9325.499999999998
20,N1,N1-13R,Pennai Z1053- Gouripur (Int.with Z1044) (Right),LRP043,LRP043,45.388100000000016,47.224,1.8359999999999999,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,6.0,1629.0849673202615,569.0196078431374,102.2149600580973,14.379084967320262,10.403050108932463,23.530693799999998,90.7924441,49.420504021450064,544.4162723002939,8972.999999999998
21,N1,N1-7R,Langalband - Mograpara Chowrasta (Left)Z1089 (Right),LRP013,LRP013,15.9351,20.044,4.109,174.0,4965.0,3478.0,3296.0,2791.0,1751.0,249.0,1579.0,3154.0,1154.0,211.0,1077.0,0.0,22591.0,1288.0,23879.0,23879.0,4.0,1572.8279386712095,1030.060842054028,96.06960330980776,56.16938427841324,47.018739352640544,23.6358608,90.5948052,49.420504021450064,812.2754040965533,12925.5
22,N1,N1-8L,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left),LRP013,LRP022,20.0441,23.564,3.52,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0,14822.0,4.0,1445.6676136363635,581.4204545454546,151.7755681818182,6.25,9.928977272727273,,,49.420504021450064,695.8406966220169,10177.5
